file,makespan,gap
abz5,1632,32.25283630470016
abz5,1524,30.388978930307943
abz5,1584,32.25283630470016
abz5,1543,30.388978930307943
abz5,1632,32.25283630470016
abz5,1808,30.388978930307943
abz5,1561,32.17179902755267
abz5,1632,32.25283630470016
abz5,1609,16.450567260940034
abz5,1584,46.51539708265802
abz6,1372,57.26405090137858
abz6,1372,57.26405090137858
abz6,1372,41.569459172852596
abz6,1483,57.26405090137858
abz6,1483,57.26405090137858
abz6,1483,57.26405090137858
abz6,1483,57.26405090137858
abz6,1483,55.037115588547195
abz6,1483,45.49310710498409
abz6,1483,41.569459172852596
abz7,1186,83.84146341463415
abz7,1254,84.7560975609756
abz7,1213,81.25
abz7,1204,82.46951219512195
abz7,1141,91.15853658536585
abz7,1254,91.15853658536585
abz7,1167,79.72560975609755
abz7,1141,91.15853658536585
abz7,1254,91.15853658536585
abz7,1222,82.16463414634147
abz8,1302,104.49612403100774
abz8,1351,106.51162790697674
abz8,1351,126.82170542635657
abz8,1332,123.41085271317829
abz8,1378,126.82170542635657
abz8,1332,111.93798449612402
abz8,1360,123.41085271317829
abz8,1358,107.28682170542636
abz8,1441,114.10852713178295
abz8,1463,109.45736434108527
abz9,1309,96.2178517397882
abz9,1309,96.2178517397882
abz9,1262,104.08472012102874
abz9,1291,95.31013615733737
abz9,1337,85.32526475037821
abz9,1291,81.54311649016641
abz9,1344,102.26928895612708
abz9,1316,88.80484114977307
abz9,1297,88.80484114977307
abz9,1297,95.31013615733737
ft06,63,7.2727272727272725
ft06,59,29.09090909090909
ft06,58,29.09090909090909
ft06,60,5.454545454545454
ft06,63,29.09090909090909
ft06,63,29.09090909090909
ft06,58,29.09090909090909
ft06,59,7.2727272727272725
ft06,64,5.454545454545454
ft06,71,16.363636363636363
ft10,1901,114.40860215053763
ft10,1717,114.40860215053763
ft10,1994,114.40860215053763
ft10,1901,104.40860215053765
ft10,1714,99.89247311827957
ft10,1994,114.40860215053763
ft10,1865,111.29032258064515
ft10,1642,76.55913978494624
ft10,1994,95.48387096774194
ft10,1901,114.40860215053763
ft20,2579,132.01716738197425
ft20,2462,159.05579399141632
ft20,2929,120.08583690987125
ft20,2703,97.08154506437768
ft20,2355,111.33047210300428
ft20,3139,51.072961373390555
ft20,2929,111.33047210300428
ft20,2673,132.01716738197425
ft20,3016,108.41201716738198
ft20,2590,151.41630901287553
la01,1094,64.26426426426426
la01,1094,64.26426426426426
la01,933,50.30030030030031
la01,1094,81.83183183183183
la01,1211,61.86186186186187
la01,1066,81.83183183183183
la01,955,64.26426426426426
la01,1192,64.26426426426426
la01,1001,77.62762762762763
la01,1066,53.453453453453456
la02,1211,84.88549618320612
la02,1211,84.88549618320612
la02,1095,84.88549618320612
la02,1211,53.43511450381679
la02,995,84.88549618320612
la02,1005,84.88549618320612
la02,1211,33.74045801526718
la02,906,30.076335877862597
la02,1211,26.106870229007633
la02,1211,84.88549618320612
la03,760,45.7286432160804
la03,900,28.14070351758794
la03,813,37.85594639865997
la03,900,27.80569514237856
la03,870,52.596314907872696
la03,674,45.7286432160804
la03,832,27.30318257956449
la03,674,40.871021775544385
la03,832,38.02345058626466
la03,760,29.145728643216078
la04,960,106.27118644067797
la04,999,78.13559322033899
la04,1217,40.847457627118644
la04,1219,31.35593220338983
la04,889,84.23728813559322
la04,1217,43.728813559322035
la04,889,51.52542372881356
la04,927,34.067796610169495
la04,1217,106.61016949152543
la04,1044,46.101694915254235
la05,875,14.165261382799327
la05,793,25.632377740303543
la05,745,25.632377740303543
la05,745,44.8566610455312
la05,820,30.354131534569984
la05,745,38.27993254637437
la05,859,38.27993254637437
la05,851,25.632377740303543
la05,859,25.632377740303543
la05,745,18.381112984822934
la06,1706,74.622030237581
la06,1617,84.66522678185746
la06,1706,42.87257019438445
la06,1710,50.0
la06,1451,84.66522678185746
la06,1617,71.59827213822895
la06,1298,74.622030237581
la06,1710,74.622030237581
la06,1153,71.59827213822895
la06,1298,46.11231101511879
la07,1734,94.83146067415731
la07,1515,94.83146067415731
la07,1273,70.2247191011236
la07,1227,94.83146067415731
la07,1194,97.52808988764045
la07,1626,76.74157303370787
la07,1626,70.2247191011236
la07,1626,70.2247191011236
la07,1226,100.89887640449437
la07,1734,44.38202247191011
la08,1462,56.083429895712634
la08,1768,84.00926998841251
la08,1768,79.37427578215527
la08,1348,61.41367323290846
la08,1768,79.02665121668598
la08,1588,41.13557358053303
la08,1267,104.86674391657009
la08,1447,71.14716106604867
la08,1588,47.27694090382387
la08,1768,104.86674391657009
la09,1431,50.262881177707676
la09,1855,84.75289169295478
la09,1334,40.063091482649845
la09,1855,95.05783385909568
la09,1567,55.83596214511041
la09,1855,95.05783385909568
la09,1507,32.70241850683491
la09,1847,101.36698212407991
la09,1896,72.02944269190326
la09,1507,78.44374342797056
la10,1453,51.67014613778706
la10,1115,51.67014613778706
la10,1453,35.699373695198325
la10,1159,51.1482254697286
la10,1453,57.62004175365344
la10,1453,25.156576200417536
la10,1453,15.1356993736952
la10,1453,10.438413361169102
la10,1115,20.45929018789144
la10,1371,51.67014613778706
la11,2018,93.04418985270048
la11,2079,41.65302782324059
la11,2091,78.96890343698854
la11,2050,60.392798690671036
la11,2090,72.66775777414075
la11,1765,68.00327332242226
la11,2108,65.38461538461539
la11,1834,72.50409165302783
la11,2187,71.11292962356792
la11,1968,90.67103109656301
la12,2030,87.39172281039461
la12,2030,74.01347449470644
la12,2236,74.01347449470644
la12,2236,61.116458132820014
la12,1638,44.36958614051973
la12,2149,48.12319538017324
la12,2036,85.46679499518768
la12,2236,115.20692974013475
la12,1333,55.72666025024061
la12,1770,69.87487969201155
la13,2642,71.30434782608695
la13,2677,41.391304347826086
la13,2366,59.21739130434782
la13,2194,126.95652173913044
la13,2376,95.56521739130434
la13,1970,129.7391304347826
la13,2642,54.95652173913044
la13,2564,60.52173913043478
la13,2677,126.95652173913044
la13,2133,126.95652173913044
la14,2010,76.54798761609906
la14,1750,35.44891640866873
la14,1990,76.54798761609906
la14,1992,54.024767801857585
la14,1811,76.54798761609906
la14,1705,76.54798761609906
la14,2281,54.024767801857585
la14,1928,38.93188854489164
la14,1990,31.965944272445824
la14,2362,31.037151702786375
la15,2209,83.01574150787076
la15,2557,71.91383595691798
la15,2434,89.6437448218724
la15,2434,56.917978458989225
la15,2025,64.70588235294117
la15,2557,89.6437448218724
la15,2051,111.84755592377795
la15,2209,80.7787903893952
la15,2131,109.6106048053024
la15,1867,61.723280861640426
la16,1463,53.333333333333336
la16,1463,53.333333333333336
la16,1463,53.333333333333336
la16,1449,54.81481481481482
la16,1463,54.81481481481482
la16,1463,53.333333333333336
la16,1449,53.333333333333336
la16,1449,53.333333333333336
la16,1463,54.81481481481482
la16,1449,54.81481481481482
la17,1097,39.9234693877551
la17,1097,36.98979591836735
la17,1074,39.9234693877551
la17,1074,36.98979591836735
la17,1074,36.98979591836735
la17,1112,38.9030612244898
la17,1074,36.98979591836735
la17,1074,39.9234693877551
la17,1097,36.224489795918366
la17,1074,37.5
la18,1262,45.87264150943396
la18,1174,37.5
la18,1262,35.613207547169814
la18,1262,35.613207547169814
la18,1174,48.82075471698113
la18,1091,48.82075471698113
la18,1262,48.82075471698113
la18,1150,40.44811320754717
la18,1086,48.82075471698113
la18,1150,48.82075471698113
la19,1316,65.20190023752969
la19,1316,56.294536817102134
la19,1316,56.294536817102134
la19,1316,56.294536817102134
la19,1316,56.294536817102134
la19,1316,56.294536817102134
la19,1316,56.294536817102134
la19,1316,45.01187648456057
la19,1153,56.294536817102134
la19,1316,65.20190023752969
la20,1489,65.07760532150776
la20,1489,73.28159645232816
la20,1548,71.61862527716187
la20,1489,73.28159645232816
la20,1489,61.75166297117517
la20,1563,73.28159645232816
la20,1489,63.968957871396896
la20,1489,70.17738359201773
la20,1563,71.61862527716187
la20,1489,72.72727272727273
la21,1819,73.90057361376672
la21,2197,70.26768642447419
la21,1793,110.03824091778202
la21,2197,80.11472275334609
la21,2197,110.03824091778202
la21,2197,93.49904397705545
la21,2024,110.03824091778202
la21,1885,71.41491395793498
la21,2197,110.03824091778202
la21,2197,84.32122370936902
la22,1635,66.77454153182309
la22,1562,84.14239482200647
la22,1802,92.55663430420712
la22,1635,94.39050701186623
la22,1802,84.14239482200647
la22,1546,94.39050701186623
la22,1802,82.95577130528586
la22,1684,90.72276159654801
la22,1802,94.39050701186623
la22,1802,66.77454153182309
la23,2027,70.63953488372093
la23,1908,75.29069767441861
la23,1908,83.81782945736434
la23,1908,75.96899224806202
la23,1908,96.41472868217055
la23,1995,83.81782945736434
la23,1897,93.31395348837209
la23,2027,75.67829457364341
la23,1897,96.41472868217055
la23,1828,71.41472868217055
